月份,AQI
1,172.45503273809595
2,87.76066832010586
3,64.12705092592611
4,69.50649636243391
5,82.97677876984166
6,59.934896825396436
7,59.9459550264546
8,59.54192989417953
9,80.84023776455045
10,71.52547486772475
11,77.59459490740743
12,103.27287962962967
